Jump,retOpen,Returns(120mins),Returns(90mins),Returns(60mins),Returns(30mins),Returns(15mins),ATR,EndBars,Target
1.004225,-0.7775,-0.07,-0.07,-0.129997,-0.09,-0.067497,0.817477,14,4
1.004225,-0.705002,-0.0625,-0.07,-0.052502,0.005001,0.072498,0.817477,13,4
1.004225,-0.7075,0,-0.059998,-0.02,0.07,-0.002499,0.817477,12,4
1.004225,-0.682503,-0.047501,-0.030003,0.0275,0.022499,0.024998,0.817477,11,4
1.004225,-0.627502,0.02,0.059998,0.149998,0.079998,0.055,0.817477,10,3
1.004225,-0.612503,0.039997,0.0975,0.092499,0.07,0.014999,0.817477,9,2
1.004225,-0.592503,0.094997,0.184998,0.114998,0.035,0.02,0.817477,8,2
1.004225,-0.620003,0.09,0.084999,0.0625,-0.0075,-0.0275,0.817477,7,3
1.004225,-0.5075,0.27,0.200001,0.120003,0.085003,0.112503,0.817477,6,1
1.004225,-0.285,0.420002,0.397503,0.327503,0.335003,0.2225,0.817477,5,0
1.004225,-0.285,0.422501,0.342503,0.307503,0.2225,0,0.817477,4,0
1.004225,-0.342503,0.34,0.27,0.2775,-0.057503,-0.057503,0.817477,3,0
1.004225,-0.395,0.232502,0.197502,0.112499,-0.110001,-0.052498,0.817477,2,0
1.004225,-0.572502,0.040001,0.047501,-0.287502,-0.23,-0.177502,0.816233,1,2
1.005863,-0.039997,0.110001,0.050003,0.040001,-0.022499,0.065002,0.816233,24,2
1.005863,-0.067497,0.050003,0.037502,-0.077499,0.037502,-0.0275,0.816233,23,3
1.005863,-0.067497,0.022503,0.012501,-0.049999,-0.0275,0,0.816233,22,3
1.005863,-0.067497,0.037502,-0.077499,0.037502,0,0,0.816233,21,3
1.005863,-0.055,0.024998,-0.037502,-0.015003,0.012497,0.012497,0.816233,20,3
1.005863,-0.0075,-0.017502,0.0975,0.059998,0.059998,0.047501,0.816233,19,2
1.005863,-0.064999,-0.047501,-0.025002,0.002499,-0.009998,-0.057499,0.816233,18,3
1.005863,-0.052498,0.052502,0.014999,0.014999,-0.044998,0.012501,0.816233,17,3
1.005863,0.037502,0.077499,0.105,0.092503,0.102501,0.09,0.816233,16,2
1.005863,0.032501,0.099998,0.099998,0.040001,0.084999,-0.005001,0.816233,15,2
1.005863,0.080002,0.147499,0.135002,0.145,0.0425,0.047501,0.816233,14,1
1.005863,0.037502,0.105,0.045002,0.09,0.005001,-0.0425,0.816233,13,2
1.005863,0.095001,0.150002,0.16,0.057499,0.014999,0.057499,0.816233,12,0
1.005863,0.060001,0.067501,0.112499,0.0275,0.022499,-0.035,0.816233,11,1
1.005863,0.025002,0.09,-0.012501,-0.055,-0.07,-0.035,0.816233,10,2
1.005863,-0.105,-0.052502,-0.137501,-0.142502,-0.165001,-0.130001,0.816233,9,4
1.005863,-0.077499,-0.115002,-0.157501,-0.172501,-0.102501,0.0275,0.816233,8,3
1.005863,0.022503,-0.009998,-0.014999,-0.037498,0.127502,0.100002,0.816233,7,2
1.005863,0.0275,-0.052502,-0.067501,0.002499,0.105,0.004997,0.816233,6,2
1.005863,0.032501,-0.005001,-0.0275,0.137501,0.009998,0.005001,0.816233,5,2
1.005863,0.005001,-0.09,-0.02,0.0825,-0.022499,-0.0275,0.816233,4,2
1.005863,-0.017498,-0.077499,0.087502,-0.040001,-0.049999,-0.022499,0.816233,3,2
1.005863,0.0425,0.017498,0.119999,0.014999,0.037498,0.059998,0.816233,2,1
1.005863,-0.002499,0.102501,-0.025002,-0.035,0.014999,-0.044998,1.104675,1,2
0.988945,0.462502,-0.184998,-0.192497,0.015003,0.005001,-0.044998,1.104675,24,4
0.988945,0.412498,-0.227501,-0.145,0.022499,-0.095001,-0.050003,1.104675,23,4
0.988945,0.470001,-0.184998,0.022503,0.012501,0.0075,0.057503,1.104675,22,4
0.988945,0.4725,-0.084999,0.0825,-0.035,0.060001,0.002499,1.104675,21,4
0.988945,0.509998,0.0625,0.052498,0.047497,0.039997,0.037498,1.104675,20,4
0.988945,0.497501,0.107502,-0.009998,0.085003,0.025002,-0.012497,1.104675,19,4
0.988945,0.525002,0.067501,0.0625,0.055,0.015003,0.0275,1.104675,18,4
0.988945,0.529999,0.022499,0.1175,0.057499,0.032497,0.004997,1.104675,17,4
0.988945,0.622501,0.16,0.1525,0.112503,0.0975,0.092503,1.104675,16,2
0.988945,0.6325,0.220001,0.16,0.134998,0.102501,0.009998,1.104675,15,2
0.988945,0.587502,0.1175,0.077503,0.0625,-0.035,-0.044998,1.104675,14,2
0.988945,0.654999,0.182499,0.157497,0.125,0.022499,0.067497,1.104675,13,2
